x, y, output
0.4, 0.84, 0.3227137184998608
0.44, 0.84, 0.3723235146641825
0.48, 0.84, 0.4242996691685713
0.52, 0.84, 0.4773617410671714
0.56, 0.84, 0.5301467206537326
0.6, 0.84, 0.581353272262759
0.64, 0.84, 0.6298687760135695
0.68, 0.84, 0.6748544140666755
0.72, 0.84, 0.7157781262452265
0.76, 0.84, 0.7524003128037674
0.8, 0.84, 0.7847269174372394
0.84, 0.84, 0.8129471628524797
0.88, 0.84, 0.8373704011095569
0.92, 0.84, 0.8583713071232213
0.96, 0.84, 0.8763475136747182
0.0, 0.88, 0.06330666105006516
0.04, 0.88, 0.07680992772270302
0.08, 0.88, 0.09321209078229246
0.12, 0.88, 0.11299883800360988
0.16, 0.88, 0.13665330431398542
0.2, 0.88, 0.16460940795445375
0.24, 0.88, 0.19718942573846007
0.28, 0.88, 0.23453063287745665
0.32, 0.88, 0.2765120998553449
0.36, 0.88, 0.3226987219520868
0.4, 0.88, 0.37232203575139133
0.44, 0.88, 0.4243130602462347
0.48, 0.88, 0.4773903214004809
0.52, 0.88, 0.5301897149553505
0.56, 0.88, 0.5814089336666783
0.6, 0.88, 0.6299346561420315
0.64, 0.88, 0.6749277052963728
0.68, 0.88, 0.715855994821145
0.72, 0.88, 0.7524801623508587
0.76, 0.88, 0.7848065554958967
0.8, 0.88, 0.81302487286341
0.84, 0.88, 0.8374449404473935
0.88, 0.88, 0.8584418577271922
0.92, 0.88, 0.8764136093479501
0.96, 0.88, 0.891751505268552
0.0, 0.92, 0.07677725570306619
0.04, 0.92, 0.0931750632263298
0.08, 0.92, 0.11295730948531722
0.12, 0.92, 0.13660732578161086
0.16, 0.92, 0.1645593042435701
0.2, 0.92, 0.19713586820423878
0.24, 0.92, 0.2344746875597256
0.28, 0.92, 0.27645522743098755
0.32, 0.92, 0.32264270880200513
0.36, 0.92, 0.37226884894773654
0.4, 0.92, 0.42426464175455086
0.44, 0.92, 0.47734836044358914
0.48, 0.92, 0.530155450632387
0.52, 0.92, 0.5813830341272779
0.56, 0.92, 0.6299171971866614
0.6, 0.92, 0.6749182411986984
0.64, 0.92, 0.7158536909759442
0.68, 0.92, 0.7524839508866104
0.72, 0.92, 0.7848152804415761
0.76, 0.92, 0.8130374043930573
0.8, 0.92, 0.8374602511840316
0.84, 0.92, 0.8584590638405121
0.88, 0.92, 0.8764319841769597
0.92, 0.92, 0.8917704743853873
